ID_hecho,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,COMUNA,pos x,pos y,ROL,PARTICIPANTES,VICTIMA,ACUSADO,EDAD_victima,FECHA_FALLECIMIENTO
2016-0150,2016-11-18,2016,11,18,18:20:00,18,AV AMANCIO ALCORTA Y DIOGENES TABORDA,4,-58.40879146,-34.65273216,PASAJERO_ACOMPAÑANTE,CARGAS-CARGAS,CARGAS,CARGAS,41.0,2016-11-18
2016-0151,2016-11-18,2016,11,18,20:35:00,20,SD,0,.,.,PEATON,PEATON-SD,PEATON,SD,,
2016-0152,2016-11-23,2016,11,23,21:10:00,21,AV PERITO MORENO Y ZUVIRIA,7,-58.46451841,-34.64991946,CONDUCTOR,MOTO-AUTO,MOTO,AUTO,42.0,2016-11-24
2016-0153,2016-11-25,2016,11,25,15:42:00,15,ARAOZ Y AV CORDOBA,15,-58.42917090,-34.59485488,PEATON,PEATON-MOTO,PEATON,MOTO,83.0,2016-11-25
2016-0154,2016-11-26,2016,11,26,14:14:00,14,AV GRAL PAZ 15200,8,-58.49007772,-34.68251141,CONDUCTOR,MOTO-MOTO,MOTO,MOTO,38.0,
2016-0155,2016-11-26,2016,11,26,16:50:00,16,MADERO 900,10,-58.52756365,-34.62772274,PEATON,PEATON-AUTO,PEATON,AUTO,29.0,
2016-0156,2016-11-26,2016,11,26,19:40:00,19,AV INDEPENDENCIA Y DEAN FUNES,3,-58.40638983,-34.61943202,CONDUCTOR,MOTO-PASAJEROS,MOTO,PASAJEROS,23.0,2016-11-30
2016-0157,2016-12-03,2016,12,3,06:40:00,6,AV JUAN B JUSTO 5645,11,-58.47576807,-34.61740997,CONDUCTOR,MOTO-MOTO,MOTO,MOTO,23.0,
2016-0159,2016-12-04,2016,12,4,07:21:00,7,AV 27 DE FEBRERO Y AV ESCALADA,8,-58.44451316,-34.68475866,CONDUCTOR,AUTO-SD,AUTO,SD,23.0,
2016-0160,2016-12-06,2016,12,6,05:30:00,5,AUTOPISTA PERITO MORENO ALTURA VELZ,9,-58.51927194,-34.63635787,CONDUCTOR,CARGAS-OBJETO FIJO,CARGAS,OBJETO FIJO,29.0,2016-12-06
2016-0161,2016-12-06,2016,12,6,07:22:00,7,AV SANTA FE Y GODOY CRUZ,14,-58.42525456,-34.57866344,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,50.0,2016-12-06
2016-0162,2016-12-07,2016,12,7,05:00:00,5,AV FEDERICO LACROZE Y AV FOREST,15,-58.45396573,-34.58518167,PEATON,PEATON-AUTO,PEATON,AUTO,38.0,2017-01-01
2016-0163,2016-12-10,2016,12,10,07:30:00,7,AV GRAL PAZ Y AV GENERAL MOSCONI,11,-58.52340614,-34.59798754,CONDUCTOR,MOTO-AUTO,MOTO,AUTO,23.0,
2016-0164,2016-12-11,2016,12,11,06:16:00,6,AV LA PLATA Y CNEL GREGORIO POMAR,4,-58.42323628,-34.64119105,CONDUCTOR,AUTO-AUTO,AUTO,AUTO,29.0,
2016-0165,2016-12-12,2016,12,12,08:25:00,8,AV MARTIN GARCIA 300,4,-58.36926144,-34.62841919,CICLISTA,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,37.0,
2016-0168,2016-12-13,2016,12,13,10:40:00,10,AV LA PLATA Y CNEL GREGORIO POMAR,4,-58.42323628,-34.64119105,CONDUCTOR,MOTO-AUTO,MOTO,AUTO,43.0,2016-12-13
2016-0169,2016-12-15,2016,12,15,15:30:00,15,NUÑEZ Y AV RICARDO BALBIN,12,-58.47935434,-34.55676497,CONDUCTOR,MOTO-PASAJEROS,MOTO,PASAJEROS,24.0,2016-12-16
2016-0170,2016-12-19,2016,12,19,17:10:00,17,AV GRAL PAZ 4500,12,-58.50598256,-34.56379980,PASAJERO_ACOMPAÑANTE,MOTO-AUTO,MOTO,AUTO,21.0,2016-12-19
2016-0171,2016-12-25,2016,12,25,19:00:00,19,AU BUENOS AIRES - LA PLATA Y AU 25 DE MAYO,1,-58.36607137,-34.62150748,CONDUCTOR,MOTO-MOTO,MOTO,MOTO,,
2016-0172,2016-12-26,2016,12,26,08:00:00,8,AV GARAY Y CASTRO,5,-58.41918902,-34.63174259,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,38.0,2016-12-26
2016-0173,2016-12-26,2016,12,26,19:52:00,19,AV DIRECTORIO Y AV SAN PEDRITO,7,-58.46749188,-34.63551751,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,35.0,
2016-0174,2016-12-27,2016,12,27,00:00:00,0,AUTOPISTA 25 DE MAYO,0,.,.,SD,SD-SD,SD,SD,,
2016-0175,2016-12-27,2016,12,27,08:15:00,8,CNEL RAMON L FALCON Y MEMBRILLAR,7,-58.46064174,-34.62960517,PEATON,PEATON-BICICLETA,PEATON,BICICLETA,,
2016-0176,2016-12-28,2016,12,28,01:41:00,1,AV BELGRANO Y AV PASEO COLON,1,-58.36956186,-34.61232875,CONDUCTOR,MOTO-PASAJEROS,MOTO,PASAJEROS,28.0,
2016-0177,2016-12-29,2016,12,29,04:00:00,4,ARENALES 3319,14,-58.40966671,-34.58788235,PEATON,PEATON-AUTO,PEATON,AUTO,27.0,
2016-0178,2016-12-30,2016,12,30,16:18:00,16,REPUBLICA BOLIVARIANA DE VENEZUELA Y SAAVEDRA,3,-58.40288226,-34.61544091,PEATON,MULTIPLE,PEATON,MULTIPLE,7.0,
2017-0001,2017-01-02,2017,1,2,01:00:00,1,AV. JUAN B JUSTO Y ACHUPALLAS,11,-58.46594230,-34.61028571,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,18.0,2017-01-02
2017-0003,2017-01-05,2017,1,5,03:10:00,3,OLAVARRIA Y AV. VELEZ SARSFIELD,4,-58.38957669,-34.64410277,PASAJERO_ACOMPAÑANTE,CARGAS-CARGAS,CARGAS,CARGAS,33.0,2017-01-05
2017-0007,2017-01-11,2017,1,11,17:00:00,17,LIMA Y MEXICO,1,-58.38161660,-34.61529543,PEATON,MULTIPLE,PEATON,MULTIPLE,48.0,2017-01-11
2017-0008,2017-01-16,2017,1,16,00:40:00,0,JOSE A CABRERA Y BONPLAND,14,-58.43917004,-34.58494351,CONDUCTOR,MOTO-PASAJEROS,MOTO,PASAJEROS,29.0,2017-01-16
2017-0009,2017-01-16,2017,1,16,13:56:00,13,AU 25 DE MAYO Y AV. BOEDO,5,-58.41595919,-34.62743346,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,36.0,2017-01-16
2017-0010,2017-01-16,2017,1,16,16:30:00,16,AV. DIRECTORIO Y RIGLOS,6,-58.43564880,-34.62828656,CONDUCTOR,MOTO-AUTO,MOTO,AUTO,23.0,2017-01-16
2017-0011,2017-01-22,2017,1,22,02:30:00,2,AV. GRAL. PAZ Y AV. R. BALBIN,12,-58.50073810,-34.54979510,PASAJERO_ACOMPAÑANTE,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,29.0,2017-01-22
2017-0012,2017-01-24,2017,1,24,14:00:00,14,TRAFUL Y DIOGENES TABORDA,4,-58.40969005,-34.65055290,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,30.0,2017-01-24
2017-0013,2017-01-27,2017,1,27,07:00:00,7,IRIARTE 3055,4,-58.38972622,-34.65098981,PEATON,PEATON-CARGAS,PEATON,CARGAS,4.0,2017-01-27
2017-0014,2017-01-28,2017,1,28,08:27:34,8,AV. DONADO Y ARIAS,12,-58.49185972,-34.55046754,PASAJERO_ACOMPAÑANTE,MULTIPLE,MOTO,MULTIPLE,22.0,2017-01-28
2017-0015,2017-02-02,2017,2,2,15:18:03,15,CORDOBA AV. Y CALLAO,2,-58.39293417,-34.59963642,PEATON,PEATON-AUTO,PEATON,AUTO,82.0,2017-02-21
2017-0016,2017-02-03,2017,2,3,05:12:21,5,"AU 25 DE MAYO, KILOMETRO 8.3, SENTIDO HACIA PROVINCIA DE BUENOS AIRES, C.A.B.A.",1,-58.38099494,-34.62288231,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,27.0,2017-02-04
2017-0017,2017-02-06,2017,2,6,08:00:00,8,AV. JUAN B JUSTO Y PARAGUAY,14,-58.42901200,-34.58095431,CONDUCTOR,MOTO-AUTO,MOTO,AUTO,32.0,2017-02-06
2017-0018,2017-02-09,2017,2,9,07:00:00,7,AV. GRAL. PAZ Y AV. DE LOS CORRALES,9,-58.50877521,-34.66977709,CONDUCTOR,MOTO-AUTO,MOTO,AUTO,30.0,2017-02-09
2017-0021,2017-02-18,2017,2,18,05:30:00,5,SARMIENTO Y LIBERTAD,1,-58.38362373,-34.60509972,CONDUCTOR,MOTO-PASAJEROS,MOTO,PASAJEROS,43.0,2017-02-18
2017-0024,2017-02-23,2017,2,23,20:50:00,20,AV. RIVADAVIA 7121,7,-58.46589308,-34.62955795,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,39.0,2017-02-23
2017-0025,2017-02-24,2017,2,24,17:05:00,17,AV. FERNANDEZ DE LA CRUZ Y RIVERA INDARTE,7,-58.43614426,-34.65424640,CONDUCTOR,MOTO-SD,MOTO,SD,23.0,2017-02-24
2017-0026,2017-02-26,2017,2,26,05:15:00,5,AV. PERITO MORENO Y FOURNIER,4,-58.41842777,-34.64979057,PASAJERO_ACOMPAÑANTE,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,23.0,2017-02-26
2017-0026,2017-02-26,2017,2,26,05:15:00,5,AV. PERITO MORENO Y FOURNIER,4,-58.41842777,-34.64979057,CONDUCTOR,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,19.0,2017-02-26
2017-0027,2017-02-26,2017,2,26,21:57:00,21,AV. CASEROS 1429,1,-58.38332245,-34.63193250,PEATON,PEATON-AUTO,PEATON,AUTO,,2017-02-26
2017-0028,2017-02-28,2017,2,28,09:20:00,9,AV. GAONA Y FRAGATA SARMIENTO,6,-58.45475488,-34.61196327,PEATON,PEATON-AUTO,PEATON,AUTO,87.0,2017-02-28
2017-0029,2017-03-07,2017,3,7,02:15:00,2,MOZART Y TANDIL,9,-58.48501341,-34.64742455,SD,SD-AUTO,SD,AUTO,34.0,2017-03-07
2017-0030,2017-03-07,2017,3,7,08:00:00,8,MOZART Y COLECTORA AV. TTE. LUIS J DELLEPIANE,9,-58.47010988,-34.65872088,CONDUCTOR,AUTO-PASAJEROS,AUTO,PASAJEROS,27.0,2017-03-07
2017-0031,2017-03-11,2017,3,11,01:30:00,1,24 DE NOVIEMBRE Y PAVON ,3,-58.40997560,-34.62873635,PASAJERO_ACOMPAÑANTE,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,70.0,2017-03-11
2017-0032,2017-03-12,2017,3,12,05:00:00,5,AV. GRAL. PAZ Y PEDRO DE MENDOZA,8,-58.48892175,-34.68359163,PASAJERO_ACOMPAÑANTE,AUTO-AUTO,AUTO,AUTO,40.0,2017-03-12
2017-0033,2017-03-12,2017,3,12,07:30:00,7,AV. GRAL. PAZ KM. 10,11,-58.52466448,-34.60325478,CONDUCTOR,AUTO-AUTO,AUTO,AUTO,28.0,2017-03-12
2017-0034,2017-03-13,2017,3,13,07:50:00,7,GODOY CRUZ 2651,14,-58.42554218,-34.57929036,PEATON,PEATON-AUTO,PEATON,AUTO,43.0,2017-03-13
2017-0035,2017-03-23,2017,3,23,05:00:00,5,AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR,1,-58.35881506,-34.61113641,CONDUCTOR,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,28.0,2017-03-23
2017-0035,2017-03-23,2017,3,23,05:00:00,5,AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR,1,-58.35881506,-34.61113641,PASAJERO_ACOMPAÑANTE,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,32.0,2017-03-23
2017-0035,2017-03-23,2017,3,23,05:00:00,5,AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR,1,-58.35881506,-34.61113641,PASAJERO_ACOMPAÑANTE,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,30.0,2017-03-23
2017-0036,2017-03-29,2017,3,29,18:00:00,18,CURUPAYTI Y COLECTORA AV. GRAL. PAZ,12,-58.51452347,-34.58159762,PASAJERO_ACOMPAÑANTE,MOTO-PASAJEROS,MOTO,PASAJEROS,,2017-03-29
2017-0036,2017-03-29,2017,3,29,18:00:00,18,CURUPAYTI Y COLECTORA AV. GRAL. PAZ,12,-58.51452347,-34.58159762,CONDUCTOR,MOTO-PASAJEROS,MOTO,PASAJEROS,20.0,2017-03-29
2017-0037,2017-03-31,2017,3,31,03:00:00,3,AV. INDEPENDENCIA Y VIRREY CEVALLOS,1,-58.38896772,-34.61799615,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,41.0,2017-03-31
2017-0038,2017-04-01,2017,4,1,19:00:00,19,AV. CASTAÑARES Y LAUTARO,7,-58.44516857,-34.64363363,CONDUCTOR,MOTO-AUTO,MOTO,AUTO,40.0,2017-04-01
2017-0040,2017-04-03,2017,4,3,09:40:00,9,CAMINO CIUDAD UNUVERSITARIA Y AV. TTE. GUIRALDES,13,-58.43834197,-34.54560369,CONDUCTOR,MULTIPLE,AUTO,MULTIPLE,43.0,2017-04-03
2017-0041,2017-04-03,2017,4,3,23:15:00,23,BALDOMERO FERNANDEZ MORENO 2186,7,-58.45485084,-34.63531854,CONDUCTOR,MOTO-AUTO,MOTO,AUTO,17.0,
2017-0042,2017-04-10,2017,4,10,09:00:00,9,AV. LEOPOLDO LUGONES PKM 6900,14,.,.,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,,2017-04-10
2017-0045,2017-04-14,2017,4,14,06:15:00,6,NOGOYA 5940,10,-58.52449285,-34.62454175,CONDUCTOR,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,21.0,2017-04-14
2017-0047,2017-04-23,2017,4,23,06:30:00,6,AV. ARGENTINA Y AV. CORVALAN,8,-58.46713742,-34.67198790,CONDUCTOR,MOTO-AUTO,MOTO,AUTO,37.0,2017-04-23
2017-0049,2017-04-27,2017,4,27,18:16:00,18,AV. FERNANDEZ DE LA CRUZ Y VARELA,8,-58.43850413,-34.65554754,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,22.0,2017-04-27
2017-0050,2017-04-28,2017,4,28,11:08:08,11,AU PERITO MORENO Y RAMAL ENLACE AU1/AU6,9,.,.,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,46.0,2017-04-28
2017-0050,2017-04-28,2017,4,28,11:08:08,11,AU PERITO MORENO Y RAMAL ENLACE AU1/AU6,9,.,.,PASAJERO_ACOMPAÑANTE,MOTO-CARGAS,MOTO,CARGAS,16.0,2017-04-28
2017-0051,2017-05-01,2017,5,1,03:47:47,3,AU DELLEPIANE 2400,7,.,.,CONDUCTOR,AUTO-AUTO,AUTO,AUTO,33.0,2017-05-01
2017-0052,2017-05-05,2017,5,5,03:40:00,3,AV. GRAL. PAZ Y GOLETA JULIA,8,-58.49413799,-34.68095739,PEATON,PEATON-CARGAS,PEATON,CARGAS,47.0,2017-05-05
2017-0053,2017-05-05,2017,5,5,20:16:22,20,VIEYTES Y VILLARINO,4,-58.37547846,-34.65326075,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,28.0,2017-05-05
2017-0054,2017-05-07,2017,5,7,21:00:00,21,AV. DE LOS CONSTITUYENTES Y PEDRO MORAN,15,-58.48680218,-34.58689719,PASAJERO_ACOMPAÑANTE,MOTO-AUTO,MOTO,AUTO,20.0,2017-05-07
2017-0055,2017-05-09,2017,5,9,08:30:00,8,AV. DE LOS CONSTITUYENTES 4900,12,-58.49563989,-34.57962262,CONDUCTOR,AUTO-AUTO,AUTO,AUTO,32.0,2017-05-09
2017-0058,2017-05-09,2017,5,9,23:10:00,23,AV. CORDOBA Y LIBERTAD,1,-58.38403232,-34.59915940,PEATON,PEATON-MOTO,PEATON,MOTO,80.0,2017-05-09
2017-0059,2017-05-11,2017,5,11,09:24:00,9,BRASIL Y LIMA,1,-58.38223382,-34.62693865,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,39.0,2017-05-11
2017-0060,2017-05-13,2017,5,13,07:20:00,7,AV. ESCALADA Y AV. FERNANDEZ DE LA CRUZ,8,-58.45966521,-34.67323292,PASAJERO_ACOMPAÑANTE,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,30.0,2017-05-13
2017-0061,2017-05-15,2017,5,15,13:29:30,13,PARAGUAY Y AV. CALLAO ,2,-58.39303911,-34.59871111,PEATON,PEATON-MOTO,PEATON,MOTO,47.0,2017-05-16
2017-0062,2017-05-15,2017,5,15,16:00:00,16,AV. JUAN B JUSTO Y SAN BLAS,10,-58.51262106,-34.63395999,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,35.0,2017-05-15
2017-0063,2017-05-17,2017,5,17,10:13:00,10,CHILE Y AV. 9 DE JULIO,1,-58.38118367,-34.61646839,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,79.0,2017-05-17
2017-0064,2017-05-20,2017,5,20,05:00:00,5,MAIPU Y PERON,1,-58.37653284,-34.60582475,PASAJERO_ACOMPAÑANTE,CARGAS-AUTO,CARGAS,AUTO,61.0,2017-05-20
2017-0065,2017-05-22,2017,5,22,16:00:00,16,AV. SUAREZ Y HERRERA,4,-58.37709334,-34.64035082,CICLISTA,BICICLETA-CARGAS,BICICLETA,CARGAS,21.0,2017-05-22
2017-0066,2017-05-22,2017,5,22,18:10:00,18,AV. SAN MARTIN Y FRAGATA SARMIENTO,15,-58.46002142,-34.60409469,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,10.0,2017-05-22
2017-0067,2017-05-23,2017,5,23,02:45:00,2,AV. DIRECTORIO Y AV. JOSE MARIA MORENO,6,-58.43381970,-34.62801894,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,21.0,2017-05-23
2017-0068,2017-05-27,2017,5,27,19:50:00,19,AV. TTE. FRANCISCO RABANAL 2950,8,-58.43580656,-34.66437532,CONDUCTOR,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,32.0,2017-05-27
2017-0069,2017-05-29,2017,5,29,14:15:00,14,AV. GRAL. PAZ Y ULRICO SCHMIDL,9,-58.52173071,-34.65997463,CONDUCTOR,MOTO-SD,MOTO,SD,39.0,2017-05-29
2017-0070,2017-05-30,2017,5,30,13:20:00,13,NUEVA YORK  3696,11,-58.50791763,-34.59804273,PEATON,PEATON-AUTO,PEATON,AUTO,80.0,2017-05-31
2017-0072,2017-06-03,2017,6,3,23:20:00,23,AV. DE LOS CONSTITUYENTES Y VALLEJOS,12,-58.49175088,-34.58226957,CONDUCTOR,AUTO-AUTO,AUTO,AUTO,25.0,2017-06-03
2017-0073,2017-06-04,2017,6,4,09:00:00,9,AV. CORRIENTES Y ECUADOR,3,-58.40781467,-34.60425669,CONDUCTOR,MOTO-AUTO,MOTO,AUTO,19.0,2017-06-04
2017-0074,2017-06-04,2017,6,4,12:50:00,12,CASCO 133,9,-58.52567073,-34.63787791,SD,SD-SD,SD,SD,70.0,2017-06-04
2017-0075,2017-06-12,2017,6,12,22:38:00,22,AV. DE MAYO Y AV. 9 DE JULIO,1,-58.38154200,-34.60906385,PEATON,PEATON-MOTO,PEATON,MOTO,55.0,2017-06-12
2017-0076,2017-06-13,2017,6,13,14:50:00,14,AV. RAMON CASTILLO Y CALLE 12,2,-58.38526125,-34.57805810,PEATON,PEATON-CARGAS,PEATON,CARGAS,30.0,2017-06-13
2017-0077,2017-06-17,2017,6,17,23:45:00,23,FRAY JUSTO SANTAMARIA DE ORO 1930,14,-58.42934104,-34.58451712,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,60.0,2017-06-18
2017-0079,2017-06-19,2017,6,19,16:26:00,16,MEXICO Y DEAN FUNES,3,-58.40657493,-34.61781124,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,33.0,2017-06-19
2017-0080,2017-06-22,2017,6,22,10:15:00,10,AV. JUAN B ALBERDI Y AV. ESCALADA,9,-58.49525314,-34.64487785,PEATON,PEATON-CARGAS,PEATON,CARGAS,95.0,2017-06-22
2017-0082,2017-06-25,2017,6,25,22:40:00,22,AV. ENTRE RIOS Y AV. BRASIL,4,-58.39092851,-34.62932696,PEATON,PEATON-AUTO,PEATON,AUTO,36.0,2017-06-25
2017-0083,2017-07-04,2017,7,4,00:25:00,0,AV. JUAN B ALBERDI Y GUARDIA NACIONAL,9,-58.49603546,-34.64564271,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,37.0,2017-07-04
2017-0084,2017-07-05,2017,7,5,12:49:00,12,AV. DEL LIBERTADOR Y RODRIGUEZ PEÑA,2,-58.38502878,-34.58703485,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,73.0,2017-07-05
2017-0085,2017-07-07,2017,7,7,14:15:00,14,TACUARI Y AV. MARTIN GARCIA,4,-58.37261143,-34.63150425,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,84.0,2017-07-07
2017-0086,2017-07-09,2017,7,9,07:30:00,7,AV. RIVADAVIA Y MURGUIONDO,9,-58.51876802,-34.63905965,PEATON,PEATON-MOTO,PEATON,MOTO,30.0,2017-07-09
2017-0087,2017-07-10,2017,7,10,10:45:00,10,24 DE NOVIEMBRE 390,3,-58.41095567,-34.61516101,PEATON,PEATON-AUTO,PEATON,AUTO,73.0,2017-07-10
2017-0088,2017-07-10,2017,7,10,22:30:00,22,AV. PASEO COLON Y BRASIL,1,-58.36797542,-34.62519403,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,43.0,2017-07-10
2017-0089,2017-07-13,2017,7,13,12:05:00,12,MARTINIANO LEGUIZAMON 901,9,-58.51514709,-34.64787051,SD,SD-AUTO,SD,AUTO,23.0,
2017-0090,2017-07-15,2017,7,15,05:15:00,5,AV. CHIVILCOY Y COLECTORA AV. GRAL. PAZ ,11,-58.51925642,-34.59171721,PEATON,PEATON-AUTO,PEATON,AUTO,22.0,2017-07-15
2017-0091,2017-07-15,2017,7,15,13:00:00,13,SUPERI Y AV. GRAL. PAZ,12,-58.48671535,-34.54321216,CONDUCTOR,MOTO-SD,MOTO,SD,58.0,2017-07-15
2017-0092,2017-07-24,2017,7,24,22:16:01,22,AU 25 DE MAYO Y AU FRONDIZI (9 DE JULIO SUR),1,-58.38268809,-34.62282019,PEATON,PEATON-AUTO,PEATON,AUTO,66.0,2017-07-24
2017-0093,2017-07-25,2017,7,25,16:48:40,16,"AV. LEOPOLDO LUGONES KM 7,5, ALTURA PUENTE SCALABRINI ORTIZ, SENTIDO A CENTRO PORTEÑO",13,-58.43633522,-34.54966288,PEATON,PEATON-AUTO,PEATON,AUTO,,2017-07-25
2017-0094,2017-07-27,2017,7,27,08:50:00,8,VICTOR HUGO 2639,10,-58.52640838,-34.61765855,CICLISTA,BICICLETA-CARGAS,BICICLETA,CARGAS,56.0,2017-07-27
2017-0095,2017-08-06,2017,8,6,08:00:00,8,AV. CORDOBA Y JERONIMO SALGUERO,14,-58.41894306,-34.59778875,CONDUCTOR,MOTO-AUTO,MOTO,AUTO,36.0,2017-08-06
2017-0096,2017-08-07,2017,8,7,19:50:00,19,AV. CABILDO Y NUÑEZ,13,-58.46756026,-34.54972741,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,87.0,2017-08-07
2017-0098,2017-08-08,2017,8,8,12:10:00,12,JOSE BONIFACIO 2114,7,-58.45715752,-34.63132912,PEATON,PEATON-AUTO,PEATON,AUTO,61.0,2017-08-08
2017-0099,2017-08-17,2017,8,17,19:45:00,19,AV. PTE FIGUEROA ALCORTA 5400,14,-58.42406784,-34.56213916,CICLISTA,BICICLETA-AUTO,BICICLETA,AUTO,28.0,2017-08-17
2017-0100,2017-08-21,2017,8,21,07:45:00,7,VENEZUELA 2135,3,-58.39674470,-34.61512051,PASAJERO_ACOMPAÑANTE,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,16.0,2017-08-21
2017-0101,2017-08-23,2017,8,23,10:00:00,10,AV. FCO. LACROZE Y ZAPATA,13,-58.44537508,-34.57084818,PEATON,MULTIPLE,PEATON,MULTIPLE,61.0,2017-08-23
2017-0102,2017-08-24,2017,8,24,01:10:00,1,IRIARTE Y ZAVALETA,4,-58.40056767,-34.65107080,PEATON,PEATON-CARGAS,PEATON,CARGAS,46.0,2017-08-24
2017-0104,2017-08-25,2017,8,25,09:00:00,9,AV. 9 DE JULIO Y ESTADOS UNIDOS,1,-58.38109568,-34.61853244,PEATON,PEATON-CARGAS,PEATON,CARGAS,18.0,2017-08-25
2017-0106,2017-08-31,2017,8,31,19:50:00,19,FRAY JUSTO SANTAMARIA DE ORO Y GUEMES,14,-58.42533612,-34.58035258,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,85.0,2017-08-31
2017-0107,2017-09-01,2017,9,1,11:30:00,11,AV. DEL LIBERTADOR Y JARAMILLO,13,-58.46062311,-34.54395182,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,41.0,2017-09-01
2017-0108,2017-09-02,2017,9,2,04:53:08,4,AV. GRAL. PAZ Y MACHAIN,12,-58.49491054,-34.54795581,PASAJERO_ACOMPAÑANTE,AUTO-OBJETO FIJO,AUTO,AUTO,17.0,2017-09-02
2017-0108,2017-09-02,2017,9,2,04:53:08,4,AV. GRAL. PAZ Y MACHAIN,12,-58.49491054,-34.54795581,PASAJERO_ACOMPAÑANTE,AUTO-OBJETO FIJO,AUTO,AUTO,10.0,2017-09-02
2017-0109,2017-09-04,2017,9,4,21:00:00,21,AV. DIRECTORIO Y PORTELA,7,-58.47130269,-34.63665402,CONDUCTOR,MOTO-AUTO,MOTO,AUTO,21.0,2017-09-05
2017-0110,2017-09-06,2017,9,6,14:15:00,14,LAVALLE Y AV. LEANDRO N ALEM,1,-58.37048800,-34.60189492,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,56.0,2017-09-07
2017-0111,2017-09-07,2017,9,7,18:23:37,18,USPALLATA Y PIROVANO,4,-58.42023854,-34.64234110,PEATON,PEATON-CARGAS,PEATON,CARGAS,79.0,2017-09-07
2017-0112,2017-09-10,2017,9,10,09:32:17,9,AU 25 DE MAYO Y AV. VARELA,7,-58.45807401,-34.63997430,PASAJERO_ACOMPAÑANTE,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,1.0,
2017-0112,2017-09-10,2017,9,10,09:32:17,9,AU 25 DE MAYO Y AV. VARELA,7,-58.45807401,-34.63997430,PASAJERO_ACOMPAÑANTE,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,,2017-09-13
2017-0113,2017-09-11,2017,9,11,06:30:00,6,AV. SANTA FE Y MAIPU,1,-58.37697717,-34.59573848,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,76.0,2017-09-11
2017-0114,2017-09-15,2017,9,15,02:30:00,2,AV. ALVEAR Y AV. DEL LIBERTADOR,2,-58.39100580,-34.58498660,CONDUCTOR,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,26.0,2017-09-15
2017-0115,2017-09-19,2017,9,19,18:52:33,18,AV. PAVON Y TREINTA Y TRES ORIENTALES,5,-58.42182126,-34.63089661,CONDUCTOR,MOTO-BICICLETA,MOTO,BICICLETA,34.0,
2017-0116,2017-09-20,2017,9,20,22:24:00,22,COLECTORA AV. GRAL. PAZ 5750,12,-58.51389422,-34.58075791,CONDUCTOR,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,22.0,2017-09-20
