ID_hecho,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,COMUNA,pos x,pos y,ROL,PARTICIPANTES,VICTIMA,ACUSADO,EDAD_victima,FECHA_FALLECIMIENTO
2016-0038,2016-03-21,2016,3,21,08:06:00,8,AV GRAL PAZ COLECTORA Y ZUVIRIA,8,-58.49683458,-34.67892743,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,29.0,2016-03-21
2016-0039,2016-03-23,2016,3,23,01:50:00,1,BARTOLOME MITRE Y AV PUEYRREDON,3,-58.40603217,-34.60883960,CONDUCTOR,MOTO-PASAJEROS,MOTO,PASAJEROS,20.0,2016-03-23
2016-0041,2016-03-29,2016,3,29,11:00:00,11,AV DIRECTORIO Y RIVERA INDARTE,7,-58.46076550,-34.63350444,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,54.0,2016-03-29
2016-0041,2016-03-29,2016,3,29,11:00:00,11,AV DIRECTORIO Y RIVERA INDARTE,7,-58.46076550,-34.63350444,PASAJERO_ACOMPAÑANTE,MOTO-CARGAS,MOTO,CARGAS,,2016-03-30
2016-0043,2016-03-30,2016,3,30,18:15:00,18,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,8,-58.47832463,-34.67494416,PEATON,PEATON-CARGAS,PEATON,CARGAS,56.0,2016-03-30
2016-0044,2016-03-31,2016,3,31,19:40:00,19,AV JOSE MARIA MORENO Y BALBASTRO,7,-58.43213235,-34.63693953,CONDUCTOR,MULTIPLE,MOTO,MULTIPLE,24.0,2016-03-31
2016-0045,2016-04-11,2016,4,11,10:25:00,10,AV GRAL PAZ Y AV DEL LIBERTADOR,13,-58.46743471,-34.53476874,CONDUCTOR,MOTO-SD,MOTO,SD,,
2016-0047,2016-04-15,2016,4,15,05:30:00,5,LIMA 1483,1,-58.38247061,-34.62571878,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,41.0,2016-04-15
2016-0048,2016-04-15,2016,4,15,17:40:00,17,AV. CORRIENTES Y AV. DORREGO,15,-58.44759966,-34.59170240,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,,
2016-0049,2016-04-17,2016,4,17,00:00:00,0,"AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 0,700",4,-58.37714647568196,-34.63657525428238,SD,SD-SD,SD,SD,,
2016-0050,2016-04-19,2016,4,19,09:50:00,9,TIMOTEO GORDILLO Y AV FERNANDEZ DE LA CRUZ,8,-58.47305463,-34.68550712,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,78.0,2016-04-19
2016-0051,2016-04-20,2016,4,20,04:00:00,4,AV AMANCIO ALCORTA Y BONAVENA,4,-58.40623949,-34.65076549,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,36.0,2016-04-20
2016-0052,2016-04-20,2016,4,20,20:00:00,20,AUTOPISTA LUGONES PK 10000,13,.,.,SD,MOTO-SD,MOTO,SD,,
2016-0053,2016-04-22,2016,4,22,09:30:00,9,AV TRIUNVIRATO Y AV OLAZABAL,12,-58.48429180,-34.57558053,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,38.0,2016-04-22
2016-0054,2016-04-23,2016,4,23,21:00:00,21,AU LUIS DELLEPIANE Y AV GRAL PAZ,8,-58.48695354,-34.68795245,CONDUCTOR,MOTO-MOTO,MOTO,MOTO,30.0,2016-04-25
2016-0055,2016-04-25,2016,4,25,20:30:00,20,RAMON CASTILLA Y AV FIGUEROA ALCORTA,14,-58.40021959,-34.57964781,PEATON,PEATON-CARGAS,PEATON,CARGAS,79.0,2016-04-28
2016-0056,2016-04-26,2016,4,26,04:45:00,4,AV LUIS MARIA CAMPOS 30,14,-58.42957885,-34.57660058,CONDUCTOR,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,26.0,2016-04-26
2016-0058,2016-05-04,2016,5,4,14:00:00,14,LIMA 1471,1,-58.38247542,-34.62556293,PEATON,PEATON-MOTO,PEATON,MOTO,57.0,2016-05-08
2016-0059,2016-05-08,2016,5,8,16:30:00,16,PASAJE CIUDADELA Y LIMA OESTE,1,-58.38222219,-34.62728101,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,37.0,2016-05-26
2016-0064,2016-05-14,2016,5,14,18:11:00,18,AV JUAN B JUSTO Y AV CARRASCO,10,-58.49485242,-34.62953445,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,20.0,
2016-0065,2016-05-20,2016,5,20,14:40:00,14,AV GAONA Y ESPINOSA,6,-58.45227946,-34.61068024,PEATON,PEATON-AUTO,PEATON,AUTO,20.0,2016-05-20
2016-0067,2016-05-21,2016,5,21,17:00:00,17,AV LISANDRO DE LA TORRE Y SARAZA,8,-58.48455411,-34.67512760,PASAJERO_ACOMPAÑANTE,MOTO-PASAJEROS,MOTO,PASAJEROS,30.0,
2016-0068,2016-05-22,2016,5,22,22:00:00,22,AV FIGUEROA ALCORTA Y AV PUEYRREDON,2,-58.39056593,-34.58418569,CONDUCTOR,MOTO-PASAJEROS,MOTO,PASAJEROS,58.0,
2016-0069,2016-05-23,2016,5,23,03:30:00,3,AV ENTRE RIOS Y PASAJE FILIBERTO,3,-58.39118948,-34.62704273,CONDUCTOR,AUTO-CARGAS,AUTO,CARGAS,30.0,2016-05-23
2016-0073,2016-06-11,2016,6,11,15:00:00,15,MAGARIÑOS CERVANTES 3900,10,-58.49021952,-34.62025108,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,23.0,
2016-0074,2016-06-12,2016,6,12,06:40:00,6,AV GRAL PAZ Y RODOLFO SCAPINO,8,-58.49896559,-34.67732118,CONDUCTOR,AUTO-AUTO,AUTO,AUTO,60.0,
2016-0075,2016-06-12,2016,6,12,23:13:00,23,AUTOPISTA DELLEPIANE LUIS TTE GRAL Y MIRALLA,8,-58.47461076,-34.66874679,PEATON,PEATON-AUTO,PEATON,AUTO,42.0,2016-06-12
2016-0076,2016-06-13,2016,6,13,16:20:00,16,AV SAN MARTIN Y CAMARONES,15,-58.46210891,-34.60356211,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,53.0,2016-06-13
2016-0077,2016-06-13,2016,6,13,21:52:00,21,TTEG JUAN D PERON Y AVDA LEANDRO N ALEM,1,-58.37027770,-34.60536123,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,,
